date,symbol,bias,score,regime,trendStack,longTrend,momentum,macdHistogram,structure,next_close_ret,next_oc_ret
2022-06-03,QQQ,neutral,0,normal,0,-1,0,1,0,0.003331,-0.011360
2022-06-06,QQQ,neutral,0,normal,0,-1,0,1,0,0.008626,0.019947
2022-06-07,QQQ,neutral,0,normal,0,-1,0,1,0,-0.007197,-0.004562
2022-06-08,QQQ,neutral,0,normal,0,-1,0,1,0,-0.026785,-0.021281
2022-06-09,QQQ,bearish,-4,normal,-2,-1,-1,1,-1,-0.035271,-0.016380
2022-06-10,QQQ,bearish,-4,normal,-2,-1,-1,1,-1,-0.046496,-0.015514
2022-06-13,QQQ,bearish,-6,normal,-2,-1,-1,-1,-1,0.001815,-0.006303
2022-06-14,QQQ,bearish,-5,normal,-2,-1,-1,-1,0,0.024972,0.012096
2022-06-15,QQQ,bearish,-4,normal,-2,-1,-1,-1,1,-0.040346,-0.015240
2022-06-16,QQQ,bearish,-6,normal,-2,-1,-1,-1,-1,0.012160,0.009222
2022-06-17,QQQ,bearish,-5,normal,-2,-1,-1,-1,0,0.023263,0.008359
2022-06-21,QQQ,bearish,-4,normal,-2,-1,-1,-1,1,-0.001459,0.007719
2022-06-22,QQQ,bearish,-5,normal,-2,-1,-1,-1,0,0.014893,0.005791
2022-06-23,QQQ,bearish,-5,normal,-2,-1,-1,-1,0,0.034264,0.023876
2022-06-24,QQQ,neutral,1,normal,0,-1,0,1,1,-0.007332,-0.011993
2022-06-27,QQQ,neutral,0,normal,0,-1,0,1,0,-0.030467,-0.032287
2022-06-28,QQQ,bearish,-4,normal,-2,-1,-1,1,-1,0.000917,0.001411
2022-06-29,QQQ,bearish,-3,normal,-2,-1,-1,1,0,-0.012403,-0.001674
2022-06-30,QQQ,bearish,-4,normal,-2,-1,-1,1,-1,0.006601,0.011400
2022-07-01,QQQ,bearish,-3,normal,-2,-1,-1,1,0,0.017120,0.031080
2022-07-05,QQQ,neutral,-1,normal,-2,-1,0,1,1,0.006412,0.005046
2022-07-06,QQQ,neutral,1,normal,0,-1,0,1,1,0.021399,0.018472
2022-07-07,QQQ,neutral,1,normal,0,-1,0,1,1,0.001254,0.011196
2022-07-08,QQQ,neutral,0,normal,0,-1,0,1,0,-0.021364,-0.013111
2022-07-11,QQQ,bearish,-3,normal,-2,-1,0,1,-1,-0.009687,-0.014054
2022-07-12,QQQ,bearish,-3,normal,-2,-1,0,1,-1,-0.002061,0.017997
2022-07-13,QQQ,neutral,-2,normal,-2,-1,0,1,0,0.003571,0.013004
2022-07-14,QQQ,neutral,-2,normal,-2,-1,0,1,0,0.018139,0.007386
2022-07-15,QQQ,neutral,1,normal,0,-1,0,1,1,-0.008463,-0.018051
2022-07-18,QQQ,neutral,0,normal,0,-1,0,1,0,0.030753,0.017707
2022-07-19,QQQ,bullish,3,normal,1,-1,1,1,1,0.015857,0.014394
2022-07-20,QQQ,bullish,3,normal,1,-1,1,1,1,0.014355,0.012784
2022-07-21,QQQ,bullish,3,normal,1,-1,1,1,1,-0.017535,-0.014489
2022-07-22,QQQ,neutral,2,normal,1,-1,1,1,0,-0.005696,-0.005794
2022-07-25,QQQ,neutral,2,normal,1,-1,1,1,0,-0.019649,-0.013935
2022-07-26,QQQ,neutral,-1,normal,0,-1,0,1,-1,0.042260,0.025983
2022-07-27,QQQ,bullish,3,normal,1,-1,1,1,1,0.009778,0.010503
2022-07-28,QQQ,bullish,3,normal,1,-1,1,1,1,0.018237,0.013070
2022-07-29,QQQ,bullish,3,normal,1,-1,1,1,1,-0.000602,0.005165
2022-08-01,QQQ,bullish,3,normal,2,-1,1,1,0,-0.002982,0.004506
2022-08-02,QQQ,bullish,3,normal,2,-1,1,1,0,0.027233,0.021642
2022-08-03,QQQ,bullish,4,normal,2,-1,1,1,1,0.004676,0.004428
2022-08-04,QQQ,bullish,4,normal,2,-1,1,1,1,-0.008169,0.008020
2022-08-05,QQQ,bullish,3,normal,2,-1,1,1,0,-0.003232,-0.006136
2022-08-08,QQQ,bullish,3,normal,2,-1,1,1,0,-0.011319,-0.005302
2022-08-09,QQQ,neutral,2,normal,2,-1,1,1,-1,0.027911,0.004128
2022-08-10,QQQ,bullish,4,normal,2,-1,1,1,1,-0.005676,-0.012884
2022-08-11,QQQ,bullish,3,normal,2,-1,1,1,0,0.019471,0.012907
2022-08-12,QQQ,bullish,6,normal,2,1,1,1,1,0.008081,0.011050
2022-08-15,QQQ,bullish,6,normal,2,1,1,1,1,-0.002342,0.000663
2022-08-16,QQQ,bullish,5,normal,2,1,1,1,0,-0.011406,-0.001763
2022-08-17,QQQ,neutral,2,normal,2,-1,1,1,-1,0.002405,0.002558
2022-08-18,QQQ,bullish,5,normal,2,1,1,1,0,-0.019497,-0.010148
2022-08-19,QQQ,neutral,0,normal,2,-1,1,-1,-1,-0.026327,-0.012998
2022-08-22,QQQ,bearish,-3,normal,0,-1,0,-1,-1,-0.000827,-0.000064
2022-08-23,QQQ,neutral,-2,normal,0,-1,0,-1,0,0.002897,0.004464
2022-08-24,QQQ,neutral,-2,normal,0,-1,0,-1,0,0.017682,0.011836
2022-08-25,QQQ,neutral,1,normal,2,-1,0,-1,1,-0.040988,-0.040090
2022-08-26,QQQ,bearish,-5,normal,-1,-1,-1,-1,-1,-0.009856,-0.000689
2022-08-29,QQQ,bearish,-5,normal,-1,-1,-1,-1,-1,-0.011136,-0.016596
2022-08-30,QQQ,bearish,-5,normal,-1,-1,-1,-1,-1,-0.005814,-0.015527
2022-08-31,QQQ,bearish,-4,normal,-1,-1,-1,-1,0,0.000434,0.009032
2022-09-01,QQQ,bearish,-4,normal,-1,-1,-1,-1,0,-0.014128,-0.023715
2022-09-02,QQQ,bearish,-4,normal,-1,-1,-1,-1,0,-0.007182,-0.008828
2022-09-06,QQQ,bearish,-6,normal,-2,-1,-1,-1,-1,0.020201,0.018498
2022-09-07,QQQ,bearish,-4,normal,-2,-1,-1,-1,1,0.005184,0.012363
2022-09-08,QQQ,bearish,-4,normal,-2,-1,-1,-1,1,0.021862,0.014067
2022-09-09,QQQ,bearish,-3,normal,-2,-1,0,-1,1,0.011886,0.007261
2022-09-12,QQQ,neutral,0,normal,1,-1,0,-1,1,-0.054837,-0.026839
2022-09-13,QQQ,bearish,-6,normal,-2,-1,-1,-1,-1,0.007933,0.003934
2022-09-14,QQQ,bearish,-5,normal,-2,-1,-1,-1,0,-0.016654,-0.010100
2022-09-15,QQQ,bearish,-6,normal,-2,-1,-1,-1,-1,-0.006115,0.005561
2022-09-16,QQQ,bearish,-6,normal,-2,-1,-1,-1,-1,0.005979,0.017302
2022-09-19,QQQ,bearish,-4,normal,-2,-1,-1,-1,1,-0.007971,0.000832
2022-09-20,QQQ,bearish,-5,normal,-2,-1,-1,-1,0,-0.017906,-0.020823
2022-09-21,QQQ,bearish,-6,normal,-2,-1,-1,-1,-1,-0.012308,-0.006844
2022-09-22,QQQ,bearish,-6,normal,-2,-1,-1,-1,-1,-0.016282,-0.007350
2022-09-23,QQQ,bearish,-6,normal,-2,-1,-1,-1,-1,-0.004138,-0.002400
