date,symbol,bias,score,regime,trendStack,longTrend,momentum,macdHistogram,structure,next_close_ret,next_oc_ret
2014-01-07,GC=F,neutral,0,normal,0,-1,0,1,0,-0.003335,-0.001792
2014-01-08,GC=F,bearish,-3,normal,-2,-1,0,1,-1,0.003265,0.002855
2014-01-09,GC=F,neutral,1,normal,0,-1,0,1,1,0.014154,0.009474
2014-01-10,GC=F,neutral,2,normal,0,-1,1,1,1,0.003369,0.000240
2014-01-13,GC=F,bullish,3,normal,1,-1,1,1,1,-0.004557,-0.004636
2014-01-14,GC=F,neutral,-1,normal,0,-1,0,1,-1,-0.005702,-0.004022
2014-01-15,GC=F,neutral,-1,normal,0,-1,0,1,-1,0.001535,0.000565
2014-01-16,GC=F,neutral,0,normal,0,-1,0,1,0,0.009435,0.009680
2014-01-17,GC=F,bullish,3,normal,1,-1,1,1,1,-0.007510,-0.011223
2014-01-21,GC=F,neutral,0,normal,0,-1,0,1,0,-0.002656,-0.002174
2014-01-22,GC=F,neutral,-1,quiet,0,-1,0,1,-1,0.019048,0.022183
2014-01-23,GC=F,bullish,3,normal,1,-1,1,1,1,0.001505,0.004927
2014-01-24,GC=F,bullish,3,normal,1,-1,1,1,1,-0.000712,0.003016
2014-01-27,GC=F,neutral,2,normal,1,-1,1,1,0,-0.009971,-0.005485
2014-01-28,GC=F,neutral,0,normal,1,-1,0,1,-1,0.008953,0.000000
2014-01-29,GC=F,bullish,3,normal,1,-1,1,1,1,-0.015845,-0.019574
2014-01-30,GC=F,bearish,-3,normal,-2,-1,0,1,-1,-0.001691,-0.002814
2014-01-31,GC=F,neutral,-2,normal,-2,-1,0,1,0,0.016370,0.014488
2014-02-03,GC=F,bullish,3,normal,1,-1,1,1,1,-0.006903,-0.005324
2014-02-04,GC=F,neutral,1,normal,1,-1,0,1,0,0.004474,0.002632
2014-02-05,GC=F,neutral,1,normal,1,-1,0,1,0,0.000239,-0.000318
2014-02-06,GC=F,neutral,1,normal,1,-1,0,1,0,0.004533,0.003974
2014-02-07,GC=F,neutral,2,normal,1,-1,1,1,0,0.009103,0.004096
2014-02-10,GC=F,bullish,4,normal,2,-1,1,1,1,0.012002,0.012637
2014-02-11,GC=F,bullish,4,normal,2,-1,1,1,1,0.004031,0.003720
2014-02-12,GC=F,bullish,4,normal,2,-1,1,1,1,0.003937,0.005490
2014-02-13,GC=F,bullish,4,normal,2,-1,1,1,1,0.014303,0.013290
2014-02-14,GC=F,bullish,4,normal,2,-1,1,1,1,0.004321,0.001361
2014-02-18,GC=F,bullish,4,normal,2,-1,1,1,1,-0.003095,0.001745
2014-02-19,GC=F,bullish,3,normal,2,-1,1,1,0,-0.002650,0.004883
2014-02-20,GC=F,bullish,3,normal,2,-1,1,1,0,0.005163,0.002955
2014-02-21,GC=F,bullish,4,normal,2,-1,1,1,1,0.010877,0.010572
2014-02-24,GC=F,bullish,4,normal,2,-1,1,1,1,0.003512,0.004939
2014-02-25,GC=F,bullish,4,normal,2,-1,1,1,1,-0.011020,-0.009693
2014-02-26,GC=F,neutral,2,normal,2,-1,1,1,-1,0.002560,0.001730
2014-02-27,GC=F,bullish,3,normal,2,-1,1,1,0,-0.007660,-0.006317
2014-02-28,GC=F,neutral,2,normal,2,-1,1,1,-1,0.021719,0.010630
2014-03-03,GC=F,bullish,6,normal,2,1,1,1,1,-0.009110,-0.009331
2014-03-04,GC=F,bullish,3,normal,2,-1,1,1,0,0.001794,0.004045
2014-03-05,GC=F,bullish,3,normal,2,-1,1,1,0,0.008581,0.010239
2014-03-06,GC=F,bullish,6,normal,2,1,1,1,1,-0.010061,-0.008448
2014-03-07,GC=F,neutral,1,normal,2,-1,1,-1,0,0.002466,0.004042
2014-03-10,GC=F,neutral,1,normal,2,-1,1,-1,0,0.003802,0.004851
2014-03-11,GC=F,bullish,4,normal,2,1,1,-1,1,0.017675,0.015714
2014-03-12,GC=F,bullish,6,normal,2,1,1,1,1,0.001386,0.003951
2014-03-13,GC=F,bullish,6,normal,2,1,1,1,1,0.004956,0.002107
2014-03-14,GC=F,bullish,6,normal,2,1,1,1,1,-0.004423,-0.009523
2014-03-17,GC=F,bullish,5,normal,2,1,1,1,0,-0.010125,-0.000221
2014-03-18,GC=F,neutral,2,normal,2,1,1,-1,-1,-0.012951,-0.011569
2014-03-19,GC=F,bearish,-3,normal,0,-1,0,-1,-1,-0.008126,-0.002399
2014-03-20,GC=F,bearish,-3,normal,0,-1,0,-1,-1,0.004134,-0.002315
2014-03-21,GC=F,neutral,-1,normal,0,-1,0,-1,1,-0.018563,-0.016354
2014-03-24,GC=F,bearish,-5,normal,-1,-1,-1,-1,-1,0.000153,-0.003117
2014-03-25,GC=F,bearish,-4,normal,-1,-1,-1,-1,0,-0.006100,-0.008972
2014-03-26,GC=F,bearish,-5,normal,-1,-1,-1,-1,-1,-0.006675,0.000000
2014-03-27,GC=F,bearish,-5,normal,-1,-1,-1,-1,-1,-0.000695,0.001238
2014-03-28,GC=F,bearish,-5,normal,-1,-1,-1,-1,-1,-0.008038,-0.008422
2014-03-31,GC=F,bearish,-5,normal,-1,-1,-1,-1,-1,-0.002961,-0.004280
2014-04-01,GC=F,bearish,-5,normal,-1,-1,-1,-1,-1,0.008518,0.008046
2014-04-02,GC=F,bearish,-3,normal,-1,-1,-1,-1,1,-0.004727,-0.004958
2014-04-03,GC=F,bearish,-4,normal,-1,-1,-1,-1,0,0.014637,0.013769
2014-04-04,GC=F,neutral,-2,normal,-1,-1,0,-1,1,-0.003990,-0.002613
2014-04-07,GC=F,bearish,-4,normal,-1,-1,-1,-1,0,0.008243,0.009332
2014-04-08,GC=F,neutral,-1,normal,0,-1,0,-1,1,-0.002445,-0.003055
2014-04-09,GC=F,bearish,-3,normal,-1,-1,0,-1,0,0.011183,0.006327
2014-04-10,GC=F,bullish,3,normal,2,-1,0,1,1,-0.001061,-0.000227
2014-04-11,GC=F,neutral,2,normal,2,-1,0,1,0,0.006446,0.005378
2014-04-14,GC=F,bullish,4,normal,2,-1,1,1,1,-0.020494,-0.017162
2014-04-15,GC=F,neutral,-2,normal,-1,-1,0,1,-1,0.002385,0.000307
2014-04-16,GC=F,neutral,-1,normal,-1,-1,0,1,0,-0.007444,-0.005153
2014-04-17,GC=F,bearish,-5,normal,-1,-1,-1,-1,-1,-0.004175,-0.001550
2014-04-21,GC=F,bearish,-5,normal,-1,-1,-1,-1,-1,-0.005745,-0.006671
2014-04-22,GC=F,bearish,-6,normal,-2,-1,-1,-1,-1,0.002811,-0.000078
2014-04-23,GC=F,bearish,-5,normal,-2,-1,-1,-1,0,0.004906,0.004593
2014-04-24,GC=F,bearish,-4,normal,-2,-1,-1,-1,1,0.007904,0.005333
2014-04-25,GC=F,bearish,-3,normal,-2,-1,0,-1,1,-0.001384,-0.004979
2014-04-28,GC=F,bearish,-4,normal,-2,-1,0,-1,0,-0.002233,0.000386
2014-04-29,GC=F,neutral,-2,normal,-2,-1,0,1,0,-0.000309,-0.000309
2014-04-30,GC=F,neutral,-2,normal,-2,-1,0,1,0,-0.009648,-0.004345
2014-05-01,GC=F,bearish,-6,normal,-2,-1,-1,-1,-1,0.015198,0.020287
2014-05-02,GC=F,neutral,2,normal,1,-1,0,1,1,0.004913,0.002604
2014-05-05,GC=F,neutral,2,normal,1,-1,0,1,1,-0.000535,-0.000840
2014-05-06,GC=F,neutral,1,normal,1,-1,0,1,0,-0.015058,-0.016561
2014-05-07,GC=F,bearish,-4,normal,-2,-1,-1,1,-1,-0.000931,-0.003175
2014-05-08,GC=F,bearish,-4,normal,-2,-1,-1,1,-1,-0.000078,0.000000
2014-05-09,GC=F,bearish,-3,normal,-2,-1,-1,1,0,0.006448,0.010530
2014-05-12,GC=F,neutral,-1,normal,-2,-1,0,1,1,-0.000772,-0.000695
